+--------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                           ComboBox.selectionForeground | sun.swing.PrintColorUIResource[r=51,g=51,b=51]                                                                                                                                                                                                                                                                                                                                                   |
|                                    ComboBox.timeFactor | 1000                                                                                                                                                                                                                                                                                                                                                                                             |
|                                             ComboBoxUI | javax.swing.plaf.metal.MetalComboBoxUI                                                                                                                                                                                                                                                                                                                                                           |
|                               Desktop.ancestorInputMap | javax.swing.plaf.InputMapUIResource@27edc47b                                                                                                                                                                                                                                                                                                                                                     |
|                                     Desktop.background | javax.swing.plaf.ColorUIResource[r=255,g=255,b=255]                                                                                                                                                                                                                                                                                                                                              |
|                              Desktop.minOnScreenInsets | javax.swing.plaf.InsetsUIResource[top=3,left=3,bottom=3,right=3]                                                                                                                                                                                                                                                                                                                                 |
|                                 DesktopIcon.background | javax.swing.plaf.ColorUIResource[r=238,g=238,b=238]                                                                                                                                                                                                                                                                                                                                              |
|                                     DesktopIcon.border | javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@271eeed5                                                                                                                                                                                                                                                                                                                              |
|                                       DesktopIcon.font | javax.swing.plaf.FontUIResource[family=Dialog,name=Dialog,style=bold,size=12]                                                                                                                                                                                                                                                                                                                    |
|                                 DesktopIcon.foreground | sun.swing.PrintColorUIResource[r=51,g=51,b=51]                                                                                                                                                                                                                                                                                                                                                   |
|                                      DesktopIcon.width | 160                                                                                                                                                                                                                                                                                                                                                                                              |
|                                          DesktopIconUI | javax.swing.plaf.metal.MetalDesktopIconUI                                                                                                                                                                                                                                                                                                                                                        |
|                                          DesktopPaneUI | javax.swing.plaf.basic.BasicDesktopPaneUI                                                                                                                                                                                                                                                                                                                                                        |
|                                  EditorPane.background | javax.swing.plaf.ColorUIResource[r=255,g=255,b=255]                                                                                                                                                                                                                                                                                                                                              |
|                                      EditorPane.border | javax.swing.plaf.basic.BasicBorders$MarginBorder@6e992851                                                                                                                                                                                                                                                                                                                                        |
|                              EditorPane.caretBlinkRate | 500                                                                                                                                                                                                                                                                                                                                                                                              |
|                             EditorPane.caretForeground | sun.swing.PrintColorUIResource[r=51,g=51,b=51]                                                                                                                                                                                                                                                                                                                                                   |
|                               EditorPane.focusInputMap | javax.swing.plaf.InputMapUIResource@6bd3ecea                                                                                                                                                                                                                                                                                                                                                     |
|                                        EditorPane.font | javax.swing.plaf.FontUIResource[family=Dialog,name=Dialog,style=plain,size=12]                                                                                                                                                                                                                                                                                                                   |
|                                  EditorPane.foreground | sun.swing.PrintColorUIResource[r=51,g=51,b=51]                                                                                                                                                                                                                                                                                                                                                   |
|                          EditorPane.inactiveForeground | javax.swing.plaf.ColorUIResource[r=184,g=207,b=229]                                                                                                                                                                                                                                                                                                                                              |
