+------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                  ComboBox.ancestorInputMap | javax.swing.plaf.InputMapUIResource@74a11517                                                                                                                                                                                                                                                                                                                                                     |
|                                        ComboBox.background | javax.swing.plaf.ColorUIResource[r=255,g=255,b=255]                                                                                                                                                                                                                                                                                                                                              |
|                                            ComboBox.border | com.sun.java.swing.plaf.windows.XPStyle$XPFillBorder@3a3c31d6                                                                                                                                                                                                                                                                                                                                    |
|                                  ComboBox.buttonBackground | javax.swing.plaf.ColorUIResource[r=240,g=240,b=240]                                                                                                                                                                                                                                                                                                                                              |
|                                  ComboBox.buttonDarkShadow | javax.swing.plaf.ColorUIResource[r=105,g=105,b=105]                                                                                                                                                                                                                                                                                                                                              |
|                                   ComboBox.buttonHighlight | javax.swing.plaf.ColorUIResource[r=255,g=255,b=255]                                                                                                                                                                                                                                                                                                                                              |
|                                      ComboBox.buttonShadow | javax.swing.plaf.ColorUIResource[r=160,g=160,b=160]                                                                                                                                                                                                                                                                                                                                              |
|                                ComboBox.disabledBackground | javax.swing.plaf.ColorUIResource[r=240,g=240,b=240]                                                                                                                                                                                                                                                                                                                                              |
|                                ComboBox.disabledForeground | javax.swing.plaf.ColorUIResource[r=109,g=109,b=109]                                                                                                                                                                                                                                                                                                                                              |
|                                      ComboBox.editorBorder | javax.swing.border.EmptyBorder@d693be3                                                                                                                                                                                                                                                                                                                                                           |
|                                              ComboBox.font | javax.swing.plaf.FontUIResource[family=Tahoma,name=Tahoma,style=plain,size=11]                                                                                                                                                                                                                                                                                                                   |
|                                        ComboBox.foreground | javax.swing.plaf.ColorUIResource[r=0,g=0,b=0]                                                                                                                                                                                                                                                                                                                                                    |
|                            ComboBox.isEnterSelectablePopup | false                                                                                                                                                                                                                                                                                                                                                                                            |
|                           ComboBox.noActionOnKeyNavigation | false                                                                                                                                                                                                                                                                                                                                                                                            |
|                               ComboBox.selectionBackground | javax.swing.plaf.ColorUIResource[r=0,g=120,b=215]                                                                                                                                                                                                                                                                                                                                                |
|                               ComboBox.selectionForeground | javax.swing.plaf.ColorUIResource[r=255,g=255,b=255]                                                                                                                                                                                                                                                                                                                                              |
|                                        ComboBox.timeFactor | 1000                                                                                                                                                                                                                                                                                                                                                                                             |
|                                                 ComboBoxUI | com.sun.java.swing.plaf.windows.WindowsComboBoxUI                                                                                                                                                                                                                                                                                                                                                |
|                                   Desktop.ancestorInputMap | javax.swing.plaf.InputMapUIResource@3d9afed6                                                                                                                                                                                                                                                                                                                                                     |
|                                         Desktop.background | javax.swing.plaf.ColorUIResource[r=171,g=171,b=171]                                                                                                                                                                                                                                                                                                                                              |
|                                  Desktop.minOnScreenInsets | javax.swing.plaf.InsetsUIResource[top=3,left=3,bottom=3,right=3]                                                                                                                                                                                                                                                                                                                                 |
|                                         DesktopIcon.border | javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@1a0666b5                                                                                                                                                                                                                                                                                                                              |
|                                          DesktopIcon.width | 160                                                                                                                                                                                                                                                                                                                                                                                              |
|                                              DesktopIconUI | com.sun.java.swing.plaf.windows.WindowsDesktopIconUI                                                                                                                                                                                                                                                                                                                                             |
|                                              DesktopPaneUI | com.sun.java.swing.plaf.windows.WindowsDesktopPaneUI                                                                                                                                                                                                                                                                                                                                             |
|                                      EditorPane.background | javax.swing.plaf.ColorUIResource[r=255,g=255,b=255]                                                                                                                                                                                                                                                                                                                                              |
|                                          EditorPane.border | javax.swing.plaf.basic.BasicBorders$MarginBorder@5e74e035                                                                                                                                                                                                                                                                                                                                        |
|                                  EditorPane.caretBlinkRate | 500                                                                                                                                                                                                                                                                                                                                                                                              |
